Generation,Fitness,Min Fitness,Min Iteration
50,0.7436062693595886,0.3009830415248871,6
100,0.6710399389266968,0.3009830415248871,6
150,0.5860311985015869,0.3009830415248871,6
200,0.31317639350891113,0.3009830415248871,6
250,0.31317639350891113,0.3009830415248871,6
300,0.31317639350891113,0.3009830415248871,6
350,0.31317639350891113,0.3009830415248871,6
400,0.31317639350891113,0.3009830415248871,6
450,0.31317639350891113,0.3009830415248871,6
500,0.31317639350891113,0.3009830415248871,6
550,0.31317639350891113,0.3009830415248871,6
600,0.31317639350891113,0.3009830415248871,6
650,0.31317639350891113,0.29109278321266174,642
700,0.31317639350891113,0.29109278321266174,642
750,0.31317639350891113,0.29109278321266174,642
800,0.3113739788532257,0.29109278321266174,642
850,0.3113739788532257,0.29109278321266174,642
900,0.3113739788532257,0.29109278321266174,642
950,0.3113739788532257,0.29109278321266174,642
1000,0.3113739788532257,0.29109278321266174,642
1000,0.3113739788532257,0.29109278321266174,642
