Generation,Fitness,Min Fitness,Min Iteration
50,0.6383687257766724,0.6383687257766724,29
100,0.6383687257766724,0.6383687257766724,29
150,0.6383687257766724,0.6383687257766724,29
200,0.5000997185707092,0.5000997185707092,199
250,0.5293210744857788,0.5000997185707092,199
300,0.5293210744857788,0.5000997185707092,199
350,0.5293210744857788,0.4148518741130829,328
400,0.5293210744857788,0.4148518741130829,328
450,0.5293210744857788,0.4148518741130829,328
500,0.3093239367008209,0.3093239367008209,498
550,0.3093239367008209,0.3093239367008209,498
600,0.3093239367008209,0.3093239367008209,498
650,0.3093239367008209,0.3093239367008209,498
700,0.3093239367008209,0.3093239367008209,498
750,0.3093239367008209,0.3093239367008209,498
800,0.3093239367008209,0.3093239367008209,498
850,0.3093239367008209,0.3093239367008209,498
900,0.3093239367008209,0.3093239367008209,498
950,0.3093239367008209,0.3093239367008209,498
1000,0.3093239367008209,0.3093239367008209,498
1000,0.3093239367008209,0.3093239367008209,498
