Generation,Fitness,Min Fitness,Min Iteration
50,0.5295284390449524,0.5295284390449524,27
100,0.5295284390449524,0.4500083327293396,53
150,0.5295284390449524,0.4500083327293396,53
200,0.4247211813926697,0.4247211813926697,173
250,0.3567116856575012,0.3567116856575012,216
300,0.3567116856575012,0.3567116856575012,216
350,0.3567116856575012,0.3567116856575012,216
400,0.3567116856575012,0.3567116856575012,216
450,0.3567116856575012,0.3567116856575012,216
500,0.3567116856575012,0.3567116856575012,216
550,0.3567116856575012,0.3567116856575012,216
600,0.3567116856575012,0.3567116856575012,216
650,0.19598270952701569,0.19598270952701569,615
700,0.19598270952701569,0.19598270952701569,615
750,0.19598270952701569,0.19598270952701569,615
800,0.19598270952701569,0.19598270952701569,615
850,0.19598270952701569,0.19598270952701569,615
900,0.19598270952701569,0.19598270952701569,615
950,0.19598270952701569,0.19598270952701569,615
1000,0.19598270952701569,0.19598270952701569,615
1000,0.19598270952701569,0.19598270952701569,615
