Generation,Fitness,Min Fitness,Min Iteration
50,0.6044337153434753,0.6044337153434753,2
100,0.28300973773002625,0.28300973773002625,85
150,0.28300973773002625,0.28300973773002625,85
200,0.28300973773002625,0.28300973773002625,85
250,0.28300973773002625,0.28300973773002625,85
300,0.28300973773002625,0.28300973773002625,85
350,0.28300973773002625,0.28300973773002625,85
400,0.28300973773002625,0.28300973773002625,85
450,0.28300973773002625,0.28300973773002625,85
500,0.28300973773002625,0.28300973773002625,85
550,0.28300973773002625,0.28300973773002625,85
600,0.28300973773002625,0.28300973773002625,85
650,0.28300973773002625,0.28300973773002625,85
700,0.28300973773002625,0.28300973773002625,85
750,0.28300973773002625,0.28300973773002625,85
800,0.28300973773002625,0.28300973773002625,85
850,0.28300973773002625,0.28300973773002625,85
900,0.28300973773002625,0.28300973773002625,85
950,0.28300973773002625,0.28300973773002625,85
1000,0.28300973773002625,0.28300973773002625,85
1000,0.28300973773002625,0.28300973773002625,85
