Generation,Fitness,Min Fitness,Min Iteration
50,0.3995700180530548,0.3769630491733551,37
100,0.3995700180530548,0.3769630491733551,37
150,0.3995700180530548,0.3769630491733551,37
200,0.23875904083251953,0.23875904083251953,159
250,0.23875904083251953,0.23875904083251953,159
300,0.23875904083251953,0.23875904083251953,159
350,0.09245490282773972,-0.10807059705257416,311
400,0.09245490282773972,-0.10807059705257416,311
450,-0.1194407045841217,-0.2923811972141266,405
500,-0.1194407045841217,-0.2923811972141266,405
550,-0.1194407045841217,-0.2923811972141266,405
600,-0.1194407045841217,-0.2923811972141266,405
650,-0.1194407045841217,-0.2923811972141266,405
700,-0.1194407045841217,-0.2923811972141266,405
750,-0.1194407045841217,-0.2923811972141266,405
800,-0.1194407045841217,-0.2923811972141266,405
850,-0.1194407045841217,-0.2923811972141266,405
900,-0.1194407045841217,-0.2923811972141266,405
950,-0.1194407045841217,-0.2923811972141266,405
1000,-0.1194407045841217,-0.2923811972141266,405
1000,-0.1194407045841217,-0.2923811972141266,405
