Generation,Fitness,Min Fitness,Min Iteration
50,0.5184298753738403,0.5082906484603882,8
100,0.5184298753738403,0.5082906484603882,8
150,0.5184298753738403,0.48716163635253906,102
200,0.5184298753738403,0.48716163635253906,102
250,0.5184298753738403,0.40599626302719116,222
300,0.3858737349510193,0.3858737349510193,293
350,0.3858737349510193,0.3858737349510193,293
400,0.1436115801334381,0.1436115801334381,376
450,0.1436115801334381,0.1436115801334381,376
500,0.1436115801334381,0.1436115801334381,376
550,0.1436115801334381,0.1436115801334381,376
600,0.1436115801334381,0.1436115801334381,376
650,0.1436115801334381,0.1436115801334381,376
700,0.1436115801334381,0.1436115801334381,376
750,0.1436115801334381,0.1436115801334381,376
800,0.1436115801334381,0.1436115801334381,376
850,0.1436115801334381,0.1436115801334381,376
900,0.1436115801334381,0.1436115801334381,376
950,0.1436115801334381,0.1436115801334381,376
1000,0.1436115801334381,0.1436115801334381,376
1000,0.1436115801334381,0.1436115801334381,376
