Generation,Fitness,Min Fitness,Min Iteration
50,0.5175853371620178,0.3520219922065735,49
100,0.5175853371620178,0.3520219922065735,49
150,0.5175853371620178,0.3520219922065735,49
200,0.5175853371620178,0.3157775104045868,195
250,0.5175853371620178,0.264003723859787,232
300,0.5175853371620178,0.264003723859787,232
350,0.7186388969421387,0.20509719848632812,334
400,0.5668452978134155,0.07799327373504639,359
450,0.5668452978134155,0.07799327373504639,359
500,0.5668452978134155,0.07799327373504639,359
550,0.5668452978134155,0.07799327373504639,359
600,0.5668452978134155,0.07799327373504639,359
650,0.4166572093963623,0.07799327373504639,359
700,0.4166572093963623,0.07799327373504639,359
750,0.3934857249259949,0.07799327373504639,359
800,0.3934857249259949,0.07799327373504639,359
850,0.3311571478843689,0.07799327373504639,359
900,0.3311571478843689,0.07799327373504639,359
950,0.3311571478843689,0.07799327373504639,359
1000,0.3311571478843689,0.07799327373504639,359
1000,0.3311571478843689,0.07799327373504639,359
