Generation,Fitness,Min Fitness,Min Iteration
50,0.7207874059677124,0.7207874059677124,16
100,0.5451750755310059,0.51169753074646,98
150,0.5451750755310059,0.51169753074646,98
200,0.5451750755310059,0.51169753074646,98
250,0.5451750755310059,0.51169753074646,98
300,0.09357663989067078,0.09357663989067078,299
350,0.5451750755310059,0.09357663989067078,299
400,0.5451750755310059,0.09357663989067078,299
450,0.44632551074028015,0.09357663989067078,299
500,0.4370083510875702,0.09357663989067078,299
550,0.4370083510875702,0.09357663989067078,299
600,0.4370083510875702,0.09357663989067078,299
650,0.4370083510875702,0.09357663989067078,299
700,0.4370083510875702,0.09357663989067078,299
750,0.4370083510875702,0.09357663989067078,299
800,0.4370083510875702,0.09357663989067078,299
850,0.4370083510875702,0.09357663989067078,299
900,0.4370083510875702,0.09357663989067078,299
950,0.4370083510875702,0.09357663989067078,299
1000,0.4370083510875702,0.09357663989067078,299
1000,0.4370083510875702,0.09357663989067078,299
