Generation,Fitness,Min Fitness,Min Iteration
50,0.6360767483711243,0.6360767483711243,6
100,0.5573375225067139,0.5573375225067139,90
150,0.5573375225067139,0.5573375225067139,90
200,0.5573375225067139,0.5256623029708862,170
250,0.525952935218811,0.5256623029708862,170
300,0.525952935218811,0.2804569900035858,254
350,0.49522677063941956,0.2804569900035858,254
400,0.49522677063941956,0.2804569900035858,254
450,0.36437150835990906,0.2804569900035858,254
500,0.36437150835990906,0.2804569900035858,254
550,0.36437150835990906,0.2804569900035858,254
600,0.36437150835990906,0.2804569900035858,254
650,0.36437150835990906,0.2804569900035858,254
700,0.36437150835990906,0.2804569900035858,254
750,0.36437150835990906,0.2804569900035858,254
800,0.36437150835990906,0.2804569900035858,254
850,0.36437150835990906,0.2804569900035858,254
900,0.36437150835990906,0.2804569900035858,254
950,0.36437150835990906,0.2804569900035858,254
1000,0.36437150835990906,0.2804569900035858,254
1000,0.36437150835990906,0.2804569900035858,254
