Generation,Fitness,Min Fitness,Min Iteration
50,0.8037344813346863,0.7070532441139221,9
100,0.5710859894752502,0.40244564414024353,68
150,0.5710859894752502,0.40244564414024353,68
200,0.5710859894752502,0.40244564414024353,68
250,0.5710859894752502,0.40244564414024353,68
300,0.5710859894752502,0.2884843647480011,293
350,0.5710859894752502,0.2884843647480011,293
400,0.5684782862663269,0.2884843647480011,293
450,0.5684782862663269,0.2884843647480011,293
500,0.5684782862663269,0.2884843647480011,293
550,0.5684782862663269,0.2884843647480011,293
600,0.21103549003601074,0.21103549003601074,600
650,0.21103549003601074,0.21103549003601074,600
700,0.21103549003601074,0.21103549003601074,600
750,0.21103549003601074,0.21103549003601074,600
800,0.21103549003601074,0.21103549003601074,600
850,0.21103549003601074,0.21103549003601074,600
900,0.21103549003601074,0.21103549003601074,600
950,0.21103549003601074,0.21103549003601074,600
1000,0.21103549003601074,0.21103549003601074,600
1000,0.21103549003601074,0.21103549003601074,600
