Generation,Fitness,Min Fitness,Min Iteration
50,0.5379939675331116,0.5379939675331116,44
100,0.5379939675331116,0.5379939675331116,44
150,0.5379939675331116,0.5373347401618958,124
200,0.34619587659835815,0.34619587659835815,152
250,0.287270188331604,0.287270188331604,212
300,0.287270188331604,0.287270188331604,212
350,0.287270188331604,0.287270188331604,212
400,0.287270188331604,0.287270188331604,212
450,0.287270188331604,0.287270188331604,212
500,0.287270188331604,0.287270188331604,212
550,0.287270188331604,0.287270188331604,212
600,0.287270188331604,0.287270188331604,212
650,0.287270188331604,0.287270188331604,212
700,0.287270188331604,0.287270188331604,212
750,0.287270188331604,0.287270188331604,212
800,0.287270188331604,0.287270188331604,212
850,0.287270188331604,0.287270188331604,212
900,0.287270188331604,0.287270188331604,212
950,0.287270188331604,0.287270188331604,212
1000,0.287270188331604,0.287270188331604,212
1000,0.287270188331604,0.287270188331604,212
