Generation,Fitness,Min Fitness,Min Iteration
50,0.7926867008209229,0.7058650255203247,28
100,0.7926867008209229,0.7058650255203247,28
150,0.7926867008209229,0.7058650255203247,28
200,0.7926867008209229,0.7058650255203247,28
250,0.23095273971557617,0.23095273971557617,231
300,0.23095273971557617,0.23095273971557617,231
350,0.23095273971557617,0.23095273971557617,231
400,0.23095273971557617,0.23095273971557617,231
450,0.23095273971557617,0.23095273971557617,231
500,0.23095273971557617,0.23095273971557617,231
550,0.23095273971557617,0.23095273971557617,231
600,0.23095273971557617,0.23095273971557617,231
650,0.23095273971557617,0.23095273971557617,231
700,0.23095273971557617,0.23095273971557617,231
750,0.23095273971557617,0.23095273971557617,231
800,0.23095273971557617,0.23095273971557617,231
850,0.23095273971557617,0.23095273971557617,231
900,0.23095273971557617,0.23095273971557617,231
950,0.23095273971557617,0.23095273971557617,231
1000,0.23095273971557617,0.23095273971557617,231
1000,0.23095273971557617,0.23095273971557617,231
