Generation,Fitness,Min Fitness,Min Iteration
50,0.7273550629615784,0.7233645915985107,49
100,0.7273550629615784,0.7233645915985107,49
150,0.47215038537979126,0.47215038537979126,148
200,0.47215038537979126,0.47215038537979126,148
250,0.47215038537979126,0.47215038537979126,148
300,0.47215038537979126,0.24960869550704956,299
350,0.47215038537979126,0.24960869550704956,299
400,0.47215038537979126,0.24960869550704956,299
450,0.47215038537979126,0.24960869550704956,299
500,0.12582752108573914,0.12582752108573914,451
550,0.12582752108573914,0.12582752108573914,451
600,0.12582752108573914,0.12582752108573914,451
650,0.12582752108573914,0.12582752108573914,451
700,0.12582752108573914,0.12582752108573914,451
750,0.12582752108573914,0.12582752108573914,451
800,0.12582752108573914,0.12582752108573914,451
850,0.12582752108573914,0.12582752108573914,451
900,0.12582752108573914,0.12582752108573914,451
950,0.12582752108573914,0.12582752108573914,451
1000,0.12582752108573914,0.12582752108573914,451
1000,0.12582752108573914,0.12582752108573914,451
